Target,ID,Date,flag,User,Text,Mentioned_persons,Mentioned_persons_count
0,1467810672,07/04/2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,null,0
0,1467810917,07/04/2009,NO_QUERY,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,@Kenichan,1
0,1467811184,07/04/2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire,null,0
0,1467811193,07/04/2009,NO_QUERY,Karoli,"@nationwideclass no,@nationwideclass,1
0,1467811372,07/04/2009,NO_QUERY,joy_wolf,@Kwesidei not the whole crew,@Kwesidei,1
0,1467811592,07/04/2009,NO_QUERY,mybirch,Need a hug,null,0
0,1467811594,07/04/2009,NO_QUERY,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit,@LOLTrish,1
0,1467811795,07/04/2009,NO_QUERY,2Hood4Hollywood,@Tatiana_K nope they didn't have it,@Tatiana_K,1
0,1467812025,07/04/2009,NO_QUERY,mimismo,@twittera que me muera ?,@twittera,1
0,1467812416,07/04/2009,NO_QUERY,erinx3leannexo,spring break in plain city... it's snowing,null,0
0,1467812579,07/04/2009,NO_QUERY,pardonlauren,I just re-pierced my ears,null,0
0,1574017904,21/04/2009,NO_QUERY,beaker133,tired but I made it to work. Now to get nothing accomplished,null,0
0,1574018093,21/04/2009,NO_QUERY,chasing_thomas,i wish i was at wolvo tonight! but i'm stuck in portsmouth,null,0
0,1574018369,21/04/2009,NO_QUERY,chacharli,English  sadly,null,0
0,1574018524,21/04/2009,NO_QUERY,ogerrard,"@sjkdesigns Well indeed. It's not just pain,@sjkdesigns,1
0,1574019117,21/04/2009,NO_QUERY,BJoie,"@jordanknight What time is it on ur island?? I always missed u,@jordanknight,1
0,1574019851,21/04/2009,NO_QUERY,DarkAdmiral,hanging in university  wanna enjoy the weather...,null,0
0,1574020051,21/04/2009,NO_QUERY,xSasyx,@ddlovato what?? you are in munich? do you have a show there? :O omg i want to see you !! munich is soo near to me  please reply (:,@ddlovato,1
0,1574020197,21/04/2009,NO_QUERY,Daz71,@babsalicious so sorry I missed you last night. Migraine,@babsalicious,1
0,1574020282,21/04/2009,NO_QUERY,aka_AMY,"Wow! Im sooo tired  ... @ddlovato Demi,@ddlovato,1
0,1574020353,21/04/2009,NO_QUERY,GaGaBananas,Wishing House was on last nite..wat is up with havin to wait another week,null,0
0,1574020776,21/04/2009,NO_QUERY,ozziecowgirl,has finally finshed at the show and is resting but my hand hurts cause i burnt it today.,null,0
0,1574021111,21/04/2009,NO_QUERY,StephBetchup,Morning.. Bus ride to school. Grr i hate waking up Early.!   &lt;If Your Happy I'll Be  Happy For You!&gt;,null,0
0,1574021269,21/04/2009,NO_QUERY,Cassie1979,I'm so bummed I can't go to LA this weekend,null,0
0,1759428823,10/05/2009,NO_QUERY,denrico1,"New apt. is finally starting to feel like home,null,0
0,1759428882,10/05/2009,NO_QUERY,milliemagsaysay,My yummy cold jug is missing! I am sad.,null,0
0,1759429001,10/05/2009,NO_QUERY,yolianda,on my way to work....starting 3rd shift tonight.....not happy,null,0
0,1759429310,10/05/2009,NO_QUERY,finnyk5,listening to eternity by the jonas brothers...imu so much nanny  i know you are in heaven but my heart still hurts &lt;/3,null,0
0,1759429449,10/05/2009,NO_QUERY,lmata,@LLALaurie The chines bor/sis team... the death mom and sonteam were in the lea nut he got stumped jn the final road block,@LLALaurie,1
0,1759429690,10/05/2009,NO_QUERY,SamanthaJade26,I wish hair grew faster...,null,0
0,1759429797,10/05/2009,NO_QUERY,misshighyellow,Its true. ima fat ass. My favorite skinny jeans ripped. There's a hole where my ass and crotch meet.,null,0
0,1759451904,10/05/2009,NO_QUERY,hotwinegoddess,"Off to bed...0430 comes awfully early  stupid work,null,0
0,1759452026,10/05/2009,NO_QUERY,charlesjhey,http://twitpic.com/4ykdm - i wish i could grow a stache' why do boys get to have all the fun,null,0
0,1759452127,10/05/2009,NO_QUERY,justkarii,I want chris back :'( how did things get this fucked up? I miss my friend,null,0
0,1759452140,10/05/2009,NO_QUERY,JScooT,@crisrojas i'm crying,@crisrojas,1
0,1759452394,10/05/2009,NO_QUERY,Mamita_02,watching Brothers &amp; Sisters!! Can't believe is the season finale,null,0
0,1759452628,10/05/2009,NO_QUERY,MoMarguerite,Moved back home to des moines  so sad,null,0
0,1759452665,10/05/2009,NO_QUERY,LillyJyn,"Sunday,null,0
0,1759452761,10/05/2009,NO_QUERY,MyDogAteLA,Cry almost everyday &amp; barely eat. Hasn't been this bad in a long time.  I need a change.,null,0
0,1759452808,10/05/2009,NO_QUERY,SunnyInSeattle,It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle,null,0
0,1759453161,10/05/2009,NO_QUERY,andrea_chii,i think i'm coming down with a cold,null,0
0,1759453455,10/05/2009,NO_QUERY,AdamBMusic,"@christianburke The thing is,@christianburke,1
0,1759453457,10/05/2009,NO_QUERY,v_Lyn,"another work day,null,0
0,1759453558,10/05/2009,NO_QUERY,rachelking,At 1020 with the jschool gang for prob the last time in a long while,null,0
0,1759453897,10/05/2009,NO_QUERY,maaalloryy,I feel really really sick,null,0
0,1932675378,27/05/2009,NO_QUERY,Whobugs,Omg Taylor Swift was amazing she is a true performer. I would so go see Taylor again. Kellie Pickler was too sick to perform,null,0
0,1932675493,27/05/2009,NO_QUERY,skwerly,@friendofdorothy I'm sorry about today   Still will hope to see you some time soon.  Hugs to you!,@friendofdorothy,1
0,1932675687,27/05/2009,NO_QUERY,1Leonie,My thoughts are with Mike Tyson and his family through this tragic time,null,0
0,1932675746,27/05/2009,NO_QUERY,kameil,@KasumiCR /me throws up,@KasumiCR,1
0,1932676143,27/05/2009,NO_QUERY,GettingPurly,Missing my man,null,0
0,1932676493,27/05/2009,NO_QUERY,Bethany_n,"This is the worst night ever. My cat got out,null,0
0,1932676605,27/05/2009,NO_QUERY,Deehgirl,"Think I might head to bed right now... tonight was so much fun,null,0
0,1932676835,27/05/2009,NO_QUERY,ChazWallace,watching food network and myspacing wishing a chef would make me some mexically foodizzle. mehhh,null,0
